Grouping 10 + 10 + 2*5:
piece coordinates, and motion.

{{-3.2360679770000003, 0., 0.}, {-1., -0.618034, 0.}}
{{-2.618033989, -1., -1.6180339890000002}, {-1., -0.618034, 0.}}
{{-2.618033989, -1., 1.6180339890000002}, {-1., -0.618034, 0.}}
{{-2.618033989, 1., -1.6180339890000002}, {-1., -0.618034, 0.}}
{{-2.618033989, 1., 1.6180339890000002}, {-1., -0.618034, 0.}}
{{-1.6180339890000002, -2.618033989, -1.}, {-1., -0.618034, 0.}}
{{-1.6180339890000002, -2.618033989, 1.}, {-1., -0.618034, 0.}}
{{-1., -1.6180339890000002, -2.618033989}, {-1., -0.618034, 0.}}
{{-1., -1.6180339890000002, 2.618033989}, {-1., -0.618034, 0.}}
{{0., -3.2360679770000003, 0.}, {-1., -0.618034, 0.}}

{{-1.6180339890000002, 2.618033989, -1.}, {-0.223853, 0.290695, 0.}}
{{-1.6180339890000002, 2.618033989, 1.}, {-0.223853, 0.290695, 0.}}

{{-1., 1.6180339890000002, -2.618033989}, {-0.09127099999999999, 0.07617299999999999, -0.347103}}
{{0., 0., -3.2360679770000003}, {-0.09127099999999999, 0.07617299999999999, -0.347103}}

{{-1., 1.6180339890000002, 2.618033989}, {-0.09127099999999999, 0.07617299999999999, 0.347103}}
{{0., 0., 3.2360679770000003}, {-0.09127099999999999, 0.07617299999999999, 0.347103}}

{{1., -1.6180339890000002, -2.618033989}, {0.12325, -0.270931, -0.214522}}
{{1.6180339890000002, -2.618033989, -1.}, {0.12325, -0.270931, -0.214522}}

{{1., -1.6180339890000002, 2.618033989}, {0.12325, -0.270931, 0.214522}}
{{1.6180339890000002, -2.618033989, 1.}, {0.12325, -0.270931, 0.214522}}

{{0., 3.2360679770000003, 0.}, {1.031979, 0.637798, 0.}}
{{1., 1.6180339890000002, -2.618033989}, {1.031979, 0.637798, 0.}}
{{1., 1.6180339890000002, 2.618033989}, {1.031979, 0.637798, 0.}}
{{1.6180339890000002, 2.618033989, -1.}, {1.031979, 0.637798, 0.}}
{{1.6180339890000002, 2.618033989, 1.}, {1.031979, 0.637798, 0.}}
{{2.618033989, -1., -1.6180339890000002}, {1.031979, 0.637798, 0.}}
{{2.618033989, -1., 1.6180339890000002}, {1.031979, 0.637798, 0.}}
{{2.618033989, 1., -1.6180339890000002}, {1.031979, 0.637798, 0.}}
{{2.618033989, 1., 1.6180339890000002}, {1.031979, 0.637798, 0.}}
{{3.2360679770000003, 0., 0.}, {1.031979, 0.637798, 0.}}
Groups
{10, 2, 2, 2, 2, 2, 10}
7 groups in total
